ccdnum    ID       xmin       xmax       ymin       ymax     rotcor
1         S29   -200.952   -170.232    -94.468    -33.028     -0.010
2         S30   -200.902   -170.182    -30.744     30.696     -0.105
3         S31   -200.978   -170.258     33.056     94.496     -0.000
4         S25   -167.192   -136.472   -126.331    -64.891     -0.004
5         S26   -167.230   -136.510    -62.589     -1.149      0.025
6         S27   -167.264   -136.544      1.181     62.621     -0.025
7         S28   -167.212   -136.492     64.875    126.315      0.004
8         S20   -133.378   -102.658   -158.172    -96.732      0.030
9         S21   -133.526   -102.806    -94.458    -33.018     -0.020
10        S22   -133.494   -102.774    -30.718     30.722      0.006
11        S23   -133.534   -102.814     33.018     94.458     -0.030
12        S24   -133.446   -102.726     96.766    158.206     -0.027
13        S14    -99.628    -68.908   -190.043   -128.603     -0.004
14        S15    -99.740    -69.020   -126.409    -64.969      0.010
15        S16    -99.826    -69.106    -62.627     -1.187      0.011
16        S17    -99.744    -69.024      1.171     62.611      0.008
17        S18    -99.820    -69.100     64.943    126.383     -0.040
18        S19    -99.676    -68.956    128.693    190.133      0.019
19         S8    -65.980    -35.260   -189.997   -128.557      0.016
20         S9    -65.956    -35.236   -126.409    -64.969     -0.001
21        S10    -66.060    -35.340    -62.651     -1.211      0.007
22        S11    -66.118    -35.398      1.195     62.635     -0.022
23        S12    -66.058    -35.338     65.041    126.481     -0.022
24        S13    -65.994    -35.274    128.671    190.111     -0.016
25         S1    -32.158     -1.438   -221.936   -160.496      0.007
26         S2    -32.254     -1.534   -158.244    -96.804      0.003
27         S3    -32.210     -1.490    -94.512    -33.072     -0.010
28         S4    -32.252     -1.532    -30.628     30.812      0.019
29         S5    -32.196     -1.476     33.104     94.544      0.010
30         S6    -32.210     -1.490     96.916    158.356      0.001
31         S7    -32.258     -1.538    160.548    221.988      0.023
32         N1      1.534     32.254   -221.972   -160.532     -0.024
33         N2      1.524     32.244   -158.266    -96.826     -0.012
34         N3      1.562     32.282    -94.556    -33.116      0.010
35         N4      1.548     32.268    -30.738     30.702      0.003
36         N5      1.618     32.338     32.988     94.428      0.050
37         N6      1.512     32.232     96.760    158.200      0.008
38         N7      1.518     32.238    160.510    221.950     -0.014
39         N8     35.302     66.022   -190.099   -128.659      0.011
40         N9     35.322     66.042   -126.447    -65.007      0.007
41        N10     35.304     66.024    -62.631     -1.191      0.016
42        N11     35.354     66.074      1.213     62.653      0.015
43        N12     35.318     66.038     64.969    126.409      0.017
44        N13     35.286     66.006    128.613    190.053      0.010
45        N14     68.992     99.712   -190.113   -128.673      0.026
46        N15     69.024     99.744   -126.507    -65.067      0.005
47        N16     69.052     99.772    -62.619     -1.179     -0.025
48        N17     69.122     99.842      1.067     62.507      0.032
49        N18     69.028     99.748     64.943    126.383      0.012
50        N19     68.948     99.668    128.637    190.077      0.006
51        N20    102.726    133.446   -158.178    -96.738     -0.018
52        N21    102.726    133.446    -94.482    -33.042     -0.007
53        N22    102.730    133.450    -30.670     30.770     -0.008
54        N23    102.806    133.526     33.034     94.474      0.006
55        N24    102.714    133.434     96.744    158.184      0.010
56        N25    136.448    167.168   -126.307    -64.867     -0.008
57        N26    136.440    167.160    -62.655     -1.215      0.000
58        N27    136.500    167.220      1.127     62.567      0.039
59        N28    136.434    167.154     64.837    126.277      0.021
60        N29    170.198    200.918    -94.452    -33.012     -0.012
61        N30    170.144    200.864    -30.704     30.736      0.000
62        N31    170.190    200.910     33.074     94.514     -0.026
63        FS4   -234.546   -203.826    -31.997     -1.277      0.000
64        FS3   -234.906   -204.186      1.157     31.877      0.000
65        GS2   -200.952   -170.232   -127.508    -96.788      0.000
66        GS1   -167.208   -136.488   -159.385   -128.665      0.000
67        GN1    136.488    167.208   -159.385   -128.665      0.000
68        GN2    170.232    200.952   -127.508    -96.788      0.000
69        FN4    204.096    234.816    -31.727     -1.007      0.000
70        FN3    203.826    234.546      1.217     31.937      0.000
71        FS2   -200.742   -170.022     96.518    127.238      0.000
72        FS1   -167.358   -136.638    128.665    159.385      0.000
73        FN1    136.308    167.028    128.575    159.295      0.000
74        FN2    170.382    201.102     97.088    127.808      0.000
